COMP,REGIAO,UF,CO_IBGE,MUNICIPIO,CNES,NOME_ESTABELECIMENTO,RAZAO_SOCIAL,TP_GESTAO,CO_TIPO_UNIDADE,DS_TIPO_UNIDADE,NATUREZA_JURIDICA,DESC_NATUREZA_JURIDICA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NO_EMAIL,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,UTI_ADULTO_EXIST,UTI_ADULTO_SUS,UTI_PEDIATRICO_EXIST,UTI_PEDIATRICO_SUS,UTI_NEONATAL_EXIST,UTI_NEONATAL_SUS,UTI_QUEIMADO_EXIST,UTI_QUEIMADO_SUS,UTI_CORONARIANA_EXIST,UTI_CORONARIANA_SUS
202601,SUDESTE,RJ,330510,SAO JOAO DE MERITI,726095,HOSPITAL MATERNIDADE SAO JOAO DE MERITI,MUNICIPIO DE SAO JOAO DE MERITI,M,7,HOSPITAL ESPECIALIZADO,1244,HOSPITAL_PÚBLICO,RUA VIRGILIO DE AZAMBUJA MONTEIRO,13,,CENTRO,25520410,,hospitalmaternidade.sjm@gmail.com,68,48,12,0,0,0,0,0,12,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,759384,QUALITY CARE,QUALITY CARE SOLUCOES MEDICAS INTEGRADAS LTDA,M,5,HOSPITAL GERAL,2062,HOSPITAL_PRIVADO,RUA MENA BARRETO,165,,BOTAFOGO,22271100,2130903400,contratos@qualitylifehc.com.br,32,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330200,ITAGUAI,767190,HOSPITAL COSTA VERDE,UNIMED COSTA VERDE RJ,M,5,HOSPITAL GERAL,2143,HOSPITAL_PRIVADO,HAROLDO RODRIGUES JESUS,160,QUADRA3 LOTE 36,MONTE SERRAT,23810840,21 26881739,CONTABILIDADE@COSTAVERDE.UNIMED.COM.BR,34,0,4,0,4,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330350,NOVA IGUACU,807842,MATERNIDADE NEOMATER,HOSPITAL E MATERNIDADE NEOMATER LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,OTAVIO ASCOLI,328,,CENTRO,26215160,02128823050,diretoria@maternidadeneomater.com.br,124,0,67,0,9,0,0,0,58,0,0,0,0,0
202601,SUDESTE,RJ,330030,BARRA DO PIRAI,850160,UPA 24 HORAS BARRA DO PIRAI,FUNDO MUNICIPAL DE SAUDE DE BARRA DO PIRAI,M,20,PRONTO SOCORRO GERAL,1244,HOSPITAL_PÚBLICO,RUA FRANKLIN DE MORAES,67,,CENTRO,27140000,,contasmedicas.sms@barradopirai.rj.gov.br,5,5,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330070,CABO FRIO,919373,HOSPITAL UNIVERSITARIO REITOR HESIO CORDEIRO HURHC,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,E,5,HOSPITAL GERAL,1147,HOSPITAL_PÚBLICO,RUA ARIZIO GOMES DA COSTA,186,,JARDIM FLAMBOYANT,28905320,22 26401250,FRANCISCO.BARBOSA.NETO@UERJ.BR,28,20,8,0,8,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330070,CABO FRIO,928143,CLINICA VISION,CLINICA VISION LTDA,M,7,HOSPITAL ESPECIALIZADO,2062,HOSPITAL_PRIVADO,RAUL VEIGA,153,LOJA 01,CENTRO,28907090,32 32154727,GERENCIA@RICARDOMARTIN.COM.BR,2,2,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330170,DUQUE DE CAXIAS,978213,HOSPITAL MUNICIPAL INFANTIL PADRE GUILHERME,MUNICIPIO DE DUQUE DE CAXIAS,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA EVARISTO DE MORAIS,S/N,,VILA BERNADETE,25272560,,cnes.hmpg@gmail.com,31,31,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330270,MARICA,2266733,HOSPITAL MUNICIPAL CONDE MODESTO LEAL,MUNICIPIO DE MARICA,M,5,HOSPITAL GERAL,1120,HOSPITAL_PÚBLICO,RUA DOMICIO DA GAMA,433,,CENTRO,24900815,(21)26371713,superintendenciadesaudemarica@gmail.com,105,101,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330400,PIRAI,2267187,HOSPITAL FLAVIO LEAL,CASA DE CARIDADE DE PIRAI,M,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,RUA ROBERTO SILVEIRA,50,,CENTRO,27175000,(24) 35115600,hospitalpirai@bol.com.br,64,50,10,7,10,7,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330415,QUISSAMA,2267209,HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS,SECRETARIA MUNICIPAL DE SAUDE DE QUISSAMA,M,5,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,AV AMILCAR PEREIRA DA SILVA,138,,MATO DE PIPA,28737000,2227689100,hospital@quissama.rj.gov.br,73,73,6,6,6,6,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330015,APERIBE,2267454,HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC,MUNICIPIO DE APERIBE,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA ANTONIO JOSE MOREIRA,359,,SAO VICENTE DE PAULA,28495000,2238641710,saude.aperibe@bol.com.br,35,35,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330110,CANTAGALO,2267713,HOSPITAL DE CANTAGALO,SANTA CASA DE CARIDADE DE CANTAGALO,M,5,HOSPITAL GERAL,3999,HOSPITAL_FILANTRÓPICO,MIGUEL SANTOS,S/N,,PRIMEIRO,28500000,,,98,81,15,10,15,10,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330025,ARRAIAL DO CABO,2267802,HOSPITAL GERAL DE ARRAIAL DO CABO,SECRETARIA MUNICIPAL DE SAUDE DE ARRAIAL DO CABO,M,5,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,AV GETULIO VARGAS,S/N,,CANAA,28930000,(22)26222107,fatura_saude@yahoo.com.br,84,75,9,0,9,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330160,DUAS BARRAS,2267810,HOSPITAL MUNICIPAL DR ANTONIO CARLOS DA SILVA MONNERAT,SECRETARIA MUNICIPAL DE SAUDE DE DUAS BARRAS,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,AV GETULIO VARGAS,199,,CENTRO,28650000,2225341177,,30,30,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330570,SUMIDOURO,2268051,HOSPITAL MUNICIPAL DR JOAO PEREIRA MARTINS,SMS SUMIDOURO,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA CARLOS ALBERTO P MOURA JUNIOR,02,,N SRA DE FATIMA,28637000,(24)25311164,,25,25,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330450,RIO DAS FLORES,2268329,HOSPITAL GERAL DR LUIZ PINTO,MUNICIPIO DE RIO DAS FLORES,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,RUA MARCELINO DO VALLE,13,,INGLESES,27660322,(24)24581300,faturamentorf@gmail.com,27,26,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330190,ITABORAI,2268922,HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ,PREFEITURA MUNICIPAL DE ITABORAI,M,5,HOSPITAL GERAL,1244,HOSPITAL_PÚBLICO,ESTRADA PREFEITO ALVARO DE CARVALHO JUNIOR,S/N,,NANCILANDIA,24801064,(21)26458070,hmdlj@itaborai.rj.gov.br,139,139,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269341,SMS HOSPITAL MUNICIPAL JESUS AP 22,SMS RIO HOSPITAL MUNICIPAL JESUS AP 22,M,7,HOSPITAL ESPECIALIZADO,1031,HOSPITAL_PÚBLICO,OITO DE DEZEMBRO,717,,VILA ISABEL,20550200,,hmjesus.smsrio@gmail.com,95,95,8,8,0,0,8,8,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269384,HOSPITAL FEDERAL DO ANDARAI,MS HOSPITAL DO ANDARAI,M,5,HOSPITAL GERAL,1015,HOSPITAL_PÚBLICO,RUA GASTAO PENALVA,119,,ANDARAI,20540220,(21) 25757000,,282,240,44,4,38,0,2,0,0,0,4,4,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269392,POLICLINICA PIQUET CARNEIRO,UERJ POLICLINICA PIQUET CARNEIRO,E,5,HOSPITAL GERAL,1147,HOSPITAL_PÚBLICO,AV MARECHAL RONDOM,381,,SAO FRANCISCO XAVIER,20950003,2125667000,servccp@ppc.uerj.br,8,8,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269406,CLINICA DA GAVEA,CLINICA DA GAVEA S A,M,7,HOSPITAL ESPECIALIZADO,2054,HOSPITAL_PRIVADO,ESTRADA DA GAVEA,151,,GAVEA,22451262,21 2274-7022,clinicadagavea@clinicadagavea.com.br,300,0,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269430,INSTITUTO DE PSIQUIATRIA DA UFRJ IPUB,INSTITUTO DE PSIQUIATRIA DA UFRJ IPUB,M,7,HOSPITAL ESPECIALIZADO,1104,HOSPITAL_PÚBLICO,AVENIDA VENCESLAU BRAS,71,FUNDOS,BOTAFOGO,22290140,(21)39380500,gabdiretor@ipub.ufrj.br,167,167,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269481,SMS HOSPITAL MUNICIPAL DA PIEDADE AP 32,SMS RIO HOSPITAL MUNICIPAL DA PIEDADE AP 32,M,5,HOSPITAL GERAL,1031,HOSPITAL_PÚBLICO,RUA DA CAPELA,96,,PIEDADE,20740310,(21)31116540,hmpiedade@rio.rj.gov.br,132,122,10,0,10,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269678,SES RJ IECAC INST EST DE CARDIOLOGIA ALOYSIO DE CASTRO,FUNDACAO SAUDE DO ESTADO DO RIO DE JANEIRO,E,7,HOSPITAL ESPECIALIZADO,1260,HOSPITAL_PÚBLICO,RUA DAVID CAMPISTA,326,,HUMAITA,22261010,23321570,faturamento@iecac.fundacaosaude.rj.gov.br,112,97,33,18,26,18,7,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269724,SMS HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO AP 31,SMS RIO HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO AP 31,M,7,HOSPITAL ESPECIALIZADO,1031,HOSPITAL_PÚBLICO,RUA TAIFEIRO OSMAR DE MORAES,26,,GALEAO,21941455,(21)33931983/0610,hmnsloreto@gmail.com,36,36,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269775,MS HOSPITAL DE IPANEMA,MS HOSPITAL DE IPANEMA,M,5,HOSPITAL GERAL,1015,HOSPITAL_PÚBLICO,RUA ANTONIO PARREIRAS,67,,IPANEMA,22411020,(21)31112318,hospitaldeipanema@hgi.rj.saude.gov.br,133,123,10,0,10,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269783,UERJ HOSPITAL UNIV PEDRO ERNESTO,UERJ HUPE HOSPITAL UNIVERSITARIO PEDRO ERNESTO,E,5,HOSPITAL GERAL,1147,HOSPITAL_PÚBLICO,BOULEVARD 28 DE SETEMBRO,77,,VILA ISABEL,20551900,(21)2868-8000,faturamento.hupe@uerj.br,521,518,102,102,71,71,6,6,25,25,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269821,MS INCA II HOSPITAL DO CANCER II,MS INCA II HOSPITAL DO CANCER II,M,7,HOSPITAL ESPECIALIZADO,1015,HOSPITAL_PÚBLICO,RUA DO EQUADOR,831,,SANTO CRISTO,20220410,(21)3207-2804,faturamento.hc2@inca.gov.br,83,77,6,0,6,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269880,HOSPITAL GERAL DE BONSUCESSO RJ,GRUPO HOSPITALAR CONCEICAO SA,M,5,HOSPITAL GERAL,2011,HOSPITAL_PRIVADO,LONDRES,616,,BONSUCESSO,21041000,(21) 3977-9500,planejamento_hgb@hfb.saude.gov.br,373,334,54,37,17,17,11,8,12,12,0,0,14,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269899,HOSPITAL MARIO KROEFF,FUNDACAO EDUCACIONAL SEVERINO SOMBRA,E,7,HOSPITAL ESPECIALIZADO,3069,HOSPITAL_FILANTRÓPICO,RUA MAGE,326,,PENHA CIRCULAR,21020130,(21) 21369657,faturamento@mariokroeff.org.br,83,73,10,0,10,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269945,SMS MATERNIDADE ALEXANDER FLEMING AP 33,SMS RIO MATERNIDADE ALEXANDER FLEMING AP 33,M,7,HOSPITAL ESPECIALIZADO,1031,HOSPITAL_PÚBLICO,RUA JORGE SCHMIDT,331,,MARECHAL HERMES,21610645,24583343,direcaohmaf2021@gmail.com,90,90,10,10,0,0,0,0,10,10,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269988,MS HSE HOSPITAL DOS SERVIDORES DO ESTADO,MINISTERIO DA SAUDE,M,5,HOSPITAL GERAL,1015,HOSPITAL_PÚBLICO,SACADURA CABRAL,178,2 ANDAR,CENTRO,20221160,,,394,377,43,26,27,10,8,8,8,8,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2269996,SMS IMAS JULIANO MOREIRA AP 40,SMS RIO IMAS JULIANO MOREIRA AP 40,M,7,HOSPITAL ESPECIALIZADO,1031,HOSPITAL_PÚBLICO,ESTRADA RODRIGUES CALDAS,3400,,JACAREPAGUA,22713375,(21)3432-2358,imasjulianomoreira.nig@gmail.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202601,SUDESTE,RJ,330455,RIO DE JANEIRO,2270021,MATERNIDADE ESCOLA DA UFRJ,UFRJ MATERNIDADE ESCOLA,M,7,HOSPITAL ESPECIALIZADO,1104,HOSPITAL_PÚBLICO,RUA DAS LARANJEIRAS,180,,LARANJEIRAS,22240003,(21)22059064,matesc@me.ufrj.br,57,57,16,16,0,0,0,0,16,16,0,0,0,0
